    0.654820304420459243E+00    0.781621042675508022E+02    0.611613410238932875E+01    0.189891654817360163E+02    0.175085697914096500E+04   -0.119033169677315755E+03   -0.690164619497199965E+02    0.358697022891083179E+02    0.146955979065397742E+03   -0.154255241497013174E+01    0.276441812826214345E+03
    0.708992946653614231E+00    0.781873092489835386E+02    0.439500656509630794E+01    0.194003206637125558E+02    0.175090234288936813E+04   -0.118686910789546346E+03   -0.689275047365023283E+02    0.307646669933064913E+02    0.136889637258843095E+03   -0.157788638544046611E+01    0.276504427885378277E+03
    0.688505129621058143E+00    0.784037582116036162E+02    0.527601814342586373E+01    0.192031719823935418E+02    0.175089298189665988E+04   -0.118747108521923110E+03   -0.690542637002976107E+02    0.315500187338939213E+02    0.139301831299640980E+03   -0.158497814017124528E+01    0.276512473975268733E+03
    0.564237229445044508E+00    0.782746697094418664E+02    0.706654872799920941E+01    0.187085567827320425E+02    0.175077092199305298E+04   -0.119423753957917825E+03   -0.680384974837161280E+02    0.427432755499983159E+02    0.155294237679382832E+03   -0.161013917004114848E+01    0.276545202941191633E+03
    0.566052824510045238E+00    0.781296167603227332E+02    0.852307469015832808E+01    0.187462422514311484E+02    0.175078588613276179E+04   -0.119363625732545415E+03   -0.681196230482470355E+02    0.414839406648136446E+02    0.153265259025982687E+03   -0.166945341594269436E+01    0.276617158084984965E+03
    0.643056352815041143E+00    0.781697671600391999E+02    0.499337303277450317E+01    0.185846603073752092E+02    0.175083369223387399E+04   -0.119094599378540579E+03   -0.685003604045618886E+02    0.364031812056482522E+02    0.144740330596707736E+03   -0.165862355071118905E+01    0.276622581717843275E+03
    0.668651125615320807E+00    0.785526458154246257E+02    0.567574713256230012E+01    0.192186667854628546E+02    0.175086740180856987E+04   -0.118635343194175221E+03   -0.679926000525089194E+02    0.305718366885062096E+02    0.132594845950917261E+03   -0.157549998633870025E+01    0.276632239838129465E+03
    0.637922785352490251E+00    0.782711849847328835E+02    0.623494781498791451E+01    0.188650652281003630E+02    0.175084067069608250E+04   -0.119043543934506033E+03   -0.687836508730085825E+02    0.369123750736323473E+02    0.148933272238673226E+03   -0.157853132402474561E+01    0.276633449130245992E+03
    0.559505383306755810E+00    0.780261916282341730E+02    0.685311982115896789E+01    0.186798623629090805E+02    0.175077612783469431E+04   -0.119539386203256072E+03   -0.684989095761919771E+02    0.435060937749180994E+02    0.158382993369773430E+03   -0.155460475844505286E+01    0.276642289404255166E+03
    0.657050352678680172E+00    0.779639569354084898E+02    0.488513097426336973E+01    0.189926804222188537E+02    0.175086040472840023E+04   -0.119035138083658239E+03   -0.690270663783178406E+02    0.359351153946224713E+02    0.147200165118703808E+03   -0.153965581736340251E+01    0.276644351341552863E+03
    0.626687543715760187E+00    0.780501343448716511E+02    0.563601059655594305E+01    0.194010969450304920E+02    0.175084444521549267E+04   -0.119183031711571175E+03   -0.690753262149160037E+02    0.381544684305933970E+02    0.151957309658805798E+03   -0.160867105605726834E+01    0.276681387068006757E+03
    0.540283968053662633E+00    0.783104406995153255E+02    0.802531744978692707E+01    0.185395809260536737E+02    0.175074657807116910E+04   -0.119407648947813186E+03   -0.674745707030108406E+02    0.422148168594376330E+02    0.152071093651290312E+03   -0.164296726363402534E+01    0.276699966927035064E+03
    0.614924510268626046E+00    0.781958962138350842E+02    0.677978843093734884E+01    0.189515996884084004E+02    0.175081643674678071E+04   -0.119154077358812856E+03   -0.684282106405330524E+02    0.388154613967449222E+02    0.150640140548936643E+03   -0.164817624228873782E+01    0.276705881624768494E+03
    0.639793518704757869E+00    0.782387026393545568E+02    0.515848639809114928E+01    0.189150150126383494E+02    0.175084538873705424E+04   -0.119117352178601323E+03   -0.687496867857266807E+02    0.377727645356258108E+02    0.149080696936460754E+03   -0.160078359112895274E+01    0.276708831408035223E+03
    0.569243251844446907E+00    0.780788371005194932E+02    0.578769836376768865E+01    0.190087930255332651E+02    0.175077688586801037E+04   -0.119370121761140808E+03   -0.677696190608153302E+02    0.411707764795946787E+02    0.149869054515072094E+03   -0.161616352935955021E+01    0.276717180230813085E+03
    0.578121024265835670E+00    0.782083194344836272E+02    0.615669550198206217E+01    0.186629449670077889E+02    0.175078345861780190E+04   -0.119235813996049501E+03   -0.675080339288693949E+02    0.403330206700152303E+02    0.148057648601442452E+03   -0.154543433074546588E+01    0.276722398376826391E+03
    0.581001905146879771E+00    0.783997752301121267E+02    0.663327760562009328E+01    0.188253061696979920E+02    0.175078355498180827E+04   -0.119119330110649798E+03   -0.672246388494352232E+02    0.378057393306298763E+02    0.141052342535230082E+03   -0.166950795432583199E+01    0.276732390029241628E+03
    0.563255374578373047E+00    0.780003844101170216E+02    0.809530341311892876E+01    0.188873938360589833E+02    0.175078465142121559E+04   -0.119353510367317313E+03   -0.681460080302912274E+02    0.404225618183959341E+02    0.151079839296770388E+03   -0.162075737414482557E+01    0.276749457017688826E+03
    0.636854133691478363E+00    0.784143932140363802E+02    0.463002193028742326E+01    0.187053431827377068E+02    0.175082478052017223E+04   -0.119040828415496890E+03   -0.683434468934527786E+02    0.367734995302546395E+02    0.146523616754657724E+03   -0.159262097488311305E+01    0.276801383515431439E+03
    0.520737239568917265E+00    0.779336741269086133E+02    0.925275977835334551E+01    0.184800230103189520E+02    0.175073814377914164E+04   -0.119682188005136823E+03   -0.679508249994744347E+02    0.461485450438949556E+02    0.161054297288922726E+03   -0.159214835840519342E+01    0.276808750195054358E+03
    0.637851037106702767E+00    0.782857627955319799E+02    0.610064802067309842E+01    0.188360011657306359E+02    0.175083054528968069E+04   -0.119015842949164607E+03   -0.685216065863145332E+02    0.350379177093377621E+02    0.142824565779206068E+03   -0.158768035947536967E+01    0.276813983538407683E+03
    0.585101997902965798E+00    0.779210419374722250E+02    0.709211942537681850E+01    0.186981281640856665E+02    0.175080205186112971E+04   -0.119310279173050276E+03   -0.683721775186473906E+02    0.403320503188817838E+02    0.152178812820723351E+03   -0.155759316047550733E+01    0.276818429188142090E+03
    0.533473006454342369E+00    0.783727769845645952E+02    0.793801996954385114E+01    0.187956837924005384E+02    0.175074832865176131E+04   -0.119381398326269846E+03   -0.673821484590870341E+02    0.417122967502316442E+02    0.149763847843007852E+03   -0.161211094854415427E+01    0.276826982534901902E+03
    0.521806649221092100E+00    0.781438248269445239E+02    0.873077906895201394E+01    0.185639396311968881E+02    0.175074137186727512E+04   -0.119536685272597651E+03   -0.673225595122607956E+02    0.445759354661108773E+02    0.154232408875622468E+03   -0.160727399200618493E+01    0.276838147285025343E+03
    0.580549333255593436E+00    0.780777755138927319E+02    0.703484078883773911E+01    0.187124119294240110E+02    0.175079055578154566E+04   -0.119270925560813339E+03   -0.679135489794236946E+02    0.403277716213697204E+02    0.150573461685940856E+03   -0.156055751984158242E+01    0.276852741713832359E+03
    0.632126274429994250E+00    0.781880624283976147E+02    0.545700444776722904E+01    0.186681187429947855E+02    0.175082514504791152E+04   -0.118998462970068658E+03   -0.679936875698000449E+02    0.345200841317478080E+02    0.138144628381924804E+03   -0.159252024261195446E+01    0.276864251055328168E+03
    0.602599950444361432E+00    0.783291409663106606E+02    0.645303022462657516E+01    0.186092625868747028E+02    0.175079440698770850E+04   -0.119120378175304722E+03   -0.676000244748237265E+02    0.384095968018805252E+02    0.145665662750221145E+03   -0.159763405594608043E+01    0.276881449728908535E+03
    0.555851035979120223E+00    0.780258677996895358E+02    0.806038085695989714E+01    0.188249722901689296E+02    0.175076958172679633E+04   -0.119366924693424380E+03   -0.677696639829041487E+02    0.412919884027560329E+02    0.151297428018100618E+03   -0.161416819962445102E+01    0.276938448940910803E+03
    0.557758879004773167E+00    0.779335864729479511E+02    0.760631789912294298E+01    0.186399594217930797E+02    0.175076797795315679E+04   -0.119460405515422963E+03   -0.677931262462481072E+02    0.427096262957259114E+02    0.153055120970490179E+03   -0.161409846088450815E+01    0.276956774490052283E+03
    0.517148470407819416E+00    0.780963488980049334E+02    0.832808894440767311E+01    0.184541444932136969E+02    0.175074140699828399E+04   -0.119516182360070843E+03   -0.675709511120355728E+02    0.432501472195758652E+02    0.152871467729579535E+03   -0.158664412351734763E+01    0.276959083467420044E+03
    0.618398761996715174E+00    0.783440722981771955E+02    0.536542857099332160E+01    0.187930068630612581E+02    0.175081656221129538E+04   -0.119054370479033423E+03   -0.678178082077038198E+02    0.368819675686543178E+02    0.142179316356955042E+03   -0.155309642899843325E+01    0.277014217082826576E+03
    0.553529963567901739E+00    0.782163419779596154E+02    0.917095406947167824E+01    0.186793059014030831E+02    0.175076702833944501E+04   -0.119310866701240002E+03   -0.674901671128773160E+02    0.399870953392983211E+02    0.146552378922331854E+03   -0.163998769346150564E+01    0.277015126498113034E+03
