weight logl Tcmb TR Beta
0.000000000000000000e+00 -8.161267212358763455e+35 4.886345960439475888e+00 9.995660194001796839e+00 7.872787455375213739e+00
0.000000000000000000e+00 -4.863078870450674623e+35 1.350941089105733850e+00 9.477802531385101759e+00 7.827082117292835761e+00
0.000000000000000000e+00 -1.591103364031665731e+35 1.397731976595233405e+00 8.633184043619135384e-01 8.235388759737162445e+00
0.000000000000000000e+00 -1.562674714623949764e+35 2.100403635911320954e+00 9.093674430406553100e+00 7.710129840974548898e+00
0.000000000000000000e+00 -9.440187204693898413e+34 4.761499793925538793e-01 7.459328467547825525e+00 7.698153681975387741e+00
0.000000000000000000e+00 -5.873334055801396489e+34 8.648609105749136106e+00 9.186420922488458540e-01 8.110848337503590244e+00
0.000000000000000000e+00 -3.600532597960494087e+34 6.735416340417526904e+00 5.003824320143486659e+00 7.679778658554180737e+00
0.000000000000000000e+00 -3.127819410055127899e+34 4.287235681891149675e+00 8.157732413108031988e-01 8.067228044455767133e+00
0.000000000000000000e+00 -1.874972425212707537e+34 6.173346523692941012e+00 8.761744393199625947e+00 7.482784449500204715e+00
0.000000000000000000e+00 -1.826136644064279796e+34 9.639914232718192366e+00 6.608887730865316890e+00 7.542516748742777111e+00
0.000000000000000000e+00 -1.771237746319717270e+34 7.874714226840974440e+00 1.151442988928509381e+00 7.927452459410361030e+00
0.000000000000000000e+00 -4.842453303366591761e+33 1.913888782020667367e-01 5.749848878704825417e+00 7.425969303685661771e+00
0.000000000000000000e+00 -4.739996768341672744e+33 6.563385586226749169e+00 6.592316586618811591e+00 7.393207083592113094e+00
0.000000000000000000e+00 -2.054592327527985196e+33 8.205961368536900835e+00 2.481097843273024850e+00 7.517484378700288516e+00
0.000000000000000000e+00 -1.977707968267216956e+33 8.255191232980749305e+00 9.626704263969376285e+00 7.211936071829594397e+00
0.000000000000000000e+00 -1.762864361899994513e+33 9.462901334826161914e+00 4.305386820582714158e+00 7.377981902929192870e+00
0.000000000000000000e+00 -1.639692301500699371e+33 3.295267923388450981e+00 4.676312996129942334e+00 7.351567747639240480e+00
0.000000000000000000e+00 -1.620884797807692220e+33 6.128850524274720435e-01 7.181070603863485502e+00 7.254962168313483062e+00
0.000000000000000000e+00 -2.448420729607868560e+32 4.744154866859967790e+00 2.480797655428786719e+00 7.281143567608225453e+00
0.000000000000000000e+00 -2.266096253021531921e+32 7.883717330890554820e+00 8.777288123343751636e-01 7.503443072108840539e+00
0.000000000000000000e+00 -2.237416735860624247e+32 1.839047138583383978e+00 7.719608123739653216e+00 7.018856009098371374e+00
0.000000000000000000e+00 -1.997176081766717090e+32 9.611351408697544230e+00 3.647400493990663684e+00 7.172852526318134636e+00
0.000000000000000000e+00 -9.734048845947842367e+31 3.872611165977223102e+00 5.997885221728918914e+00 6.982458491010877566e+00
0.000000000000000000e+00 -8.633656331273255307e+31 7.963034575060992104e+00 4.684628279085911728e+00 7.024046795939295151e+00
0.000000000000000000e+00 -5.447773432706887195e+31 4.459155121370953268e+00 1.161565780862430231e+00 7.282788209014835701e+00
0.000000000000000000e+00 -4.926085833779790377e+31 3.209780541788656905e+00 2.432438963003047405e-01 7.619053194064409951e+00
0.000000000000000000e+00 -4.331202436194970741e+31 1.159404491042418384e+00 4.372999702511815023e-01 7.474401626186931935e+00
0.000000000000000000e+00 -2.405092821558160185e+31 9.156881817585816208e+00 8.278072452017475769e+00 6.755510242162444001e+00
0.000000000000000000e+00 -2.397305423114129036e+31 6.986275478853356091e+00 1.422947609546951764e+00 7.146473020189322511e+00
0.000000000000000000e+00 -1.859206491706675912e+31 4.864459959403504286e+00 3.796397875369561525e+00 6.900147048949701656e+00
0.000000000000000000e+00 -1.785960809680634419e+31 2.988963210139959692e+00 2.964592756872797885e+00 6.950641717560984034e+00
0.000000000000000000e+00 -1.160708601399951174e+31 9.835298960851478256e+00 3.168870975070625651e-01 7.399657704474176256e+00
0.000000000000000000e+00 -9.826965540363409199e+30 4.285296340598920839e-01 4.513461004788838160e+00 6.790850443978889928e+00
0.000000000000000000e+00 -5.624592848435598642e+30 6.568894902440191252e+00 1.469128154898529104e+00 6.978281554625286986e+00
0.000000000000000000e+00 -4.247333525399397966e+30 5.673147744478697518e+00 9.801396852388746694e+00 6.525310309366759043e+00
0.000000000000000000e+00 -1.896095392623113569e+30 1.152700163611296569e+00 8.285208747445272692e+00 6.473042705068504432e+00
0.000000000000000000e+00 -1.059791199907364632e+30 3.966703169713769128e+00 7.438396633588792994e+00 6.432364122310325172e+00
0.000000000000000000e+00 -9.093427539035887880e+29 6.309136374696063143e+00 8.863856238657213282e+00 6.376388611443797316e+00
0.000000000000000000e+00 -8.816823682182558211e+29 1.693747342361451302e+00 4.285098356430721900e+00 6.534482699371885417e+00
0.000000000000000000e+00 -8.127414086373857643e+29 5.800716930369685720e+00 5.485352106844741726e+00 6.470558390475606103e+00
0.000000000000000000e+00 -1.367954030712010428e+29 3.396430507766659002e+00 4.562814983410699021e+00 6.313480241055540176e+00
0.000000000000000000e+00 -4.779517119181891149e+28 2.036914757225578576e+00 6.809654127422763104e+00 6.107653202623922084e+00
0.000000000000000000e+00 -4.457474440386346501e+28 7.387050007489571968e+00 8.540620401965830055e+00 6.049568318332859462e+00
0.000000000000000000e+00 -4.404982071902466828e+28 8.526612646642204751e+00 8.051242368962263640e+00 6.061365299356925362e+00
0.000000000000000000e+00 -4.396403316235766097e+28 8.376893008645827976e+00 6.876910524361497856e+00 6.096185041505844282e+00
0.000000000000000000e+00 -2.801058247303671299e+28 8.113409605707374794e+00 1.100441829564998697e+00 6.453325266110876868e+00
0.000000000000000000e+00 -2.157455933386151952e+28 3.630634167067454676e+00 6.551260854023476021e+00 6.027867358421985955e+00
0.000000000000000000e+00 -1.636122775054304034e+28 8.060425494508198341e+00 9.186432738549610733e+00 5.922002790183320542e+00
0.000000000000000000e+00 -1.097205259582383287e+28 2.209724313475950552e+00 4.939631685709183984e+00 6.015485730722271995e+00
0.000000000000000000e+00 -6.827262831872469337e+27 5.432643993018107409e+00 3.639102360614692167e+00 6.030673031267006934e+00
0.000000000000000000e+00 -5.525544365659528708e+27 8.339719340447770080e+00 3.613492853413401207e+00 6.008736804665876008e+00
0.000000000000000000e+00 -5.261927721755510787e+27 3.085157000445486464e+00 2.265373057352967123e+00 6.107072799388738815e+00
0.000000000000000000e+00 -3.748659572881953121e+27 8.823655135254472981e+00 6.728955034131330670e+00 5.827454298444909142e+00
0.000000000000000000e+00 -2.950437938879136694e+27 1.464566734788286251e+00 7.778139349886608933e+00 5.768647440794193670e+00
0.000000000000000000e+00 -1.917727457475864717e+27 2.756666241152419872e+00 3.044691062362438139e+00 5.929212318191446229e+00
0.000000000000000000e+00 -1.617787811454075605e+27 5.497702076600519128e-01 5.759114226842512174e+00 5.768666662905264531e+00
0.000000000000000000e+00 -1.316216303946622171e+27 9.162069904768689099e+00 9.586158340128257294e+00 -9.917011569156032991e+00
0.000000000000000000e+00 -9.925472855953178066e+26 4.546302790567394503e+00 6.519992231690801887e+00 5.686805494126733862e+00
0.000000000000000000e+00 -9.805646718573583542e+26 3.971199497673223444e+00 8.358629905019226314e+00 -9.914347400635355356e+00
0.000000000000000000e+00 -5.543886192151362451e+26 7.324913904027116729e+00 1.012166674416863366e+00 6.036059302352661859e+00
0.000000000000000000e+00 -2.495036177018266538e+26 5.508856412700002814e+00 5.983340512795032318e+00 -9.822641057105322204e+00
0.000000000000000000e+00 -2.416885364883048248e+26 9.429980385416316224e+00 7.701082786887056386e+00 -9.752345560324064522e+00
0.000000000000000000e+00 -1.097161445395750992e+26 3.791175154115183688e+00 4.682560349341483352e+00 -9.779238026773061421e+00
0.000000000000000000e+00 -7.762136459571132626e+25 1.418350208248541078e+00 8.114245510200259304e+00 -9.589856289412267643e+00
0.000000000000000000e+00 -7.515292392479057631e+25 5.264124845628174398e+00 6.231930206483693446e-01 5.921792639507931000e+00
