logz logzerr logvol nlive logl logwt insert_order
-3.584230128583352901e+38 2.245558506431803071e+40 -5.000000000000000278e-02 3.000000000000000000e+02 -2.238616554148631212e+38 -2.238616554148631212e+38 1.346666666666666679e+00
-2.238616554148631212e+38 6.343283222263070867e+37 -5.333333333333333676e-02 3.000000000000000000e+02 -1.152557809364016437e+38 -1.152557809364016437e+38 6.199999999999999956e-01
-1.152557809364016437e+38 1.121334201137586508e+38 -5.666666666666667074e-02 3.000000000000000000e+02 -6.902236950292406989e+37 -6.902236950292406989e+37 1.546666666666666634e+00
-6.902236950292406989e+37 7.998611234144654412e+37 -6.000000000000000472e-02 3.000000000000000000e+02 -6.136877486162229737e+37 -6.136877486162229737e+37 8.666666666666666963e-02
-6.136877486162229737e+37 8.140859060878633781e+37 -6.333333333333333870e-02 3.000000000000000000e+02 -3.735260138764902235e+37 -3.735260138764902235e+37 9.000000000000000222e-01
-3.735260138764902235e+37 8.753061502994018120e+36 -6.666666666666666574e-02 3.000000000000000000e+02 -2.908132799204257214e+37 -2.908132799204257214e+37 1.526666666666666616e+00
-2.908132799204257214e+37 2.286059199306286690e+36 -6.999999999999999278e-02 3.000000000000000000e+02 -2.127371937940580008e+37 -2.127371937940580008e+37 1.066666666666666652e+00
-2.127371937940580008e+37 3.903804306318385442e+36 -7.333333333333331983e-02 3.000000000000000000e+02 -1.834508444495067652e+37 -1.834508444495067652e+37 2.200000000000000011e-01
-1.834508444495067652e+37 4.577949633113139525e+36 -7.666666666666664687e-02 3.000000000000000000e+02 -1.649035646942032440e+37 -1.649035646942032440e+37 1.600000000000000033e-01
-1.649035646942032440e+37 4.428439725889122086e+36 -7.999999999999997391e-02 3.000000000000000000e+02 -8.085249669052015361e+36 -8.085249669052015361e+36 1.780000000000000027e+00
-8.085249669052015361e+36 6.361749584290969645e+36 -8.333333333333330095e-02 3.000000000000000000e+02 -3.668349031180016304e+36 -3.668349031180016304e+36 1.786666666666666625e+00
-3.668349031180016304e+36 6.950858351288463357e+36 -8.666666666666662799e-02 3.000000000000000000e+02 -3.171816816032486524e+36 -3.171816816032486524e+36 1.853333333333333277e+00
-3.171816816032486524e+36 7.114783427180638538e+36 -8.999999999999995504e-02 3.000000000000000000e+02 -8.161267212358763455e+35 -8.161267212358763455e+35 1.313333333333333242e+00
-8.161267212358763455e+35 7.696213282667637901e+36 -9.333333333333328208e-02 3.000000000000000000e+02 -4.863078870450674623e+35 -4.863078870450674623e+35 1.446666666666666767e+00
-4.863078870450674623e+35 7.854615602657696371e+36 -9.666666666666660912e-02 3.000000000000000000e+02 -1.591103364031665731e+35 -1.591103364031665731e+35 1.853333333333333277e+00
-1.591103364031665731e+35 1.416806954559657663e+35 -9.999999999999993616e-02 3.000000000000000000e+02 -1.562674714623949764e+35 -1.562674714623949764e+35 4.666666666666666879e-02
-1.562674714623949764e+35 1.230996629118173148e+33 -1.033333333333332632e-01 3.000000000000000000e+02 -9.440187204693898413e+34 -9.440187204693898413e+34 1.439999999999999947e+00
-9.440187204693898413e+34 2.720717519674262450e+34 -1.066666666666665902e-01 3.000000000000000000e+02 -5.873334055801396489e+34 -5.873334055801396489e+34 1.366666666666666696e+00
-5.873334055801396489e+34 2.840325434918157872e+34 -1.099999999999999173e-01 3.000000000000000000e+02 -3.600532597960494087e+34 -3.600532597960494087e+34 1.600000000000000033e-01
-3.600532597960494087e+34 1.714299331455593665e+34 -1.133333333333332443e-01 3.000000000000000000e+02 -3.127819410055127899e+34 -3.127819410055127899e+34 9.266666666666666385e-01
-3.127819410055127899e+34 1.848978152632060867e+34 -1.166666666666665714e-01 3.000000000000000000e+02 -1.874972425212707537e+34 -1.874972425212707537e+34 2.933333333333333348e-01
-1.874972425212707537e+34 1.388637290437664045e+34 -1.199999999999998984e-01 3.000000000000000000e+02 -1.826136644064279796e+34 -1.826136644064279796e+34 1.593333333333333268e+00
-1.826136644064279796e+34 1.153922431107354896e+34 -1.233333333333332255e-01 3.000000000000000000e+02 -1.771237746319717270e+34 -1.771237746319717270e+34 1.326666666666666661e+00
-1.771237746319717270e+34 1.171489945636478062e+34 -1.266666666666665664e-01 3.000000000000000000e+02 -4.842453303366591761e+33 -4.842453303366591761e+33 5.933333333333333792e-01
