Tcmb TR Beta
2.735996168113902449e+00 1.007698471023165787e+00 -2.684965845327516476e+00
2.738897948565296225e+00 8.716617205838027571e-01 -2.698657631837297011e+00
2.728164124264820245e+00 1.191098304786411433e+00 -2.619744808624162147e+00
2.728120301876755249e+00 1.195373221470366509e+00 -2.626119017313799375e+00
2.722282329541636958e+00 1.411384995845564649e+00 -2.595910906382013827e+00
2.729100017110869913e+00 1.257178687294636887e+00 -2.587423533249339158e+00
2.726604318861116205e+00 1.282540000012075909e+00 -2.568813095710963168e+00
2.733574703189237454e+00 1.110216540912904781e+00 -2.669838228223526677e+00
2.722832340742421309e+00 1.431856091889035509e+00 -2.509876453801783924e+00
2.727631985208700094e+00 1.126626775524782520e+00 -2.667462868154513167e+00
2.728116657537456025e+00 1.197622979840022417e+00 -2.617097468592428200e+00
2.731184684666449591e+00 1.085308156985730799e+00 -2.657926602146948092e+00
2.728607967942995316e+00 1.282014539449576107e+00 -2.540279864068723192e+00
2.731099101231715842e+00 1.206796475239322097e+00 -2.633040373964339764e+00
2.724939805718646468e+00 1.283950010485255033e+00 -2.608845491635135794e+00
2.724323296068478673e+00 1.162533259885985437e+00 -2.637108944965088853e+00
2.736683469451705264e+00 9.808166636314492592e-01 -2.671755370466712520e+00
2.728261162735767353e+00 1.122090935886130403e+00 -2.619347178266194121e+00
2.723870699598465173e+00 1.488332972623677364e+00 -2.583865940661431715e+00
2.732991123323122995e+00 1.236190946522633727e+00 -2.609008178500364927e+00
2.723030861747907760e+00 1.360282790827511912e+00 -2.560103731224129042e+00
2.731380307031819221e+00 1.005576597394301386e+00 -2.667810523416442869e+00
2.731172860157934146e+00 1.224196870040124452e+00 -2.606867506810964130e+00
2.724567582647543951e+00 1.376539756301033535e+00 -2.602879043805480741e+00
2.726788963387849929e+00 1.226318825338613028e+00 -2.610131482947872783e+00
2.733215672541180474e+00 1.250429959581174533e+00 -2.593961820870788415e+00
2.724312764029884093e+00 1.279436668511423125e+00 -2.603277622340877784e+00
2.726412352533091443e+00 1.308825116429923163e+00 -2.579464229532541175e+00
2.732163481783833170e+00 1.098507524151128623e+00 -2.638416273397440115e+00
2.727414770906428032e+00 1.137043696706272256e+00 -2.643265290334335660e+00
2.728268374634850169e+00 1.019873324820820049e+00 -2.600395952424308099e+00
2.728071385267443194e+00 1.362570065327663116e+00 -2.557481745778810378e+00
2.734913893399135709e+00 1.238003384582091027e+00 -2.624900353781578488e+00
2.731584456175219611e+00 1.046203017280955994e+00 -2.659569763170292589e+00
2.734237915647001582e+00 9.532393457198283793e-01 -2.683284220712135237e+00
2.730874835686190050e+00 1.184649710417765345e+00 -2.560478510163654242e+00
2.729380277785175668e+00 1.267867686831069651e+00 -2.661923341647839614e+00
2.728542965530731834e+00 8.956467196717033952e-01 -2.726682970975197406e+00
2.728723781660975511e+00 1.200750792240292242e+00 -2.672260681407344407e+00
2.730271087711604316e+00 1.192069404931875187e+00 -2.582619976553623964e+00
2.727573056264791962e+00 1.287145080752514215e+00 -2.628843006168501084e+00
2.731463020454004464e+00 1.217257325110798982e+00 -2.598002062346649765e+00
2.730990351052347442e+00 1.298285111123340441e+00 -2.594512109812265876e+00
2.724289512163592164e+00 1.354943984674511492e+00 -2.570885996735015055e+00
2.727849384146961320e+00 1.184127312784710062e+00 -2.594603378123254700e+00
2.725805444581328452e+00 1.031269424613988184e+00 -2.678787792711397664e+00
2.735788925110016923e+00 1.090515740145973966e+00 -2.608604311414661758e+00
2.735707969774313852e+00 1.069037625735093977e+00 -2.647904389213061371e+00
2.734168570907620222e+00 1.069362730295552177e+00 -2.614882986774473395e+00
2.726861266295942166e+00 1.433322938819098447e+00 -2.570472126828912351e+00
2.730764894642462082e+00 1.245346549772589295e+00 -2.610605326996196851e+00
2.727563718324878650e+00 1.198300671636642445e+00 -2.599957281934390352e+00
2.722520005271522159e+00 1.370849364723587316e+00 -2.573905773907200434e+00
2.731704375386894146e+00 1.034742482169409339e+00 -2.613868872347502759e+00
2.724289512163592164e+00 1.354943984674511492e+00 -2.570885996735015055e+00
2.722213140249196250e+00 1.526708584102730581e+00 -2.507327816794628461e+00
2.726199599974761689e+00 1.374119779498718774e+00 -2.589668562090263748e+00
2.727822052204066594e+00 1.468603494819703537e+00 -2.540100529036479315e+00
2.729153624758335894e+00 1.397719132631704886e+00 -2.584243355230394279e+00
2.726600863038029843e+00 1.201252175533232158e+00 -2.591361455607382069e+00
2.729611727729906345e+00 1.343904494329836163e+00 -2.618895946832743071e+00
2.733513929841126622e+00 1.156277129989716101e+00 -2.616293271658803654e+00
2.731586408499142582e+00 1.127547059225195270e+00 -2.618939283951275065e+00
2.729851831489535918e+00 1.231502163112611292e+00 -2.609374882364322801e+00
2.731199926979948955e+00 1.087132629978063481e+00 -2.648128068933464085e+00
2.727677960942425983e+00 1.232649294298399756e+00 -2.586174374669578668e+00
2.727341437118416145e+00 1.291164496290623243e+00 -2.586331090479800032e+00
