weight logl Tcmb TR Beta
0.000000000000000000e+00 -4.739996768341672744e+33 6.563385586226748725e-01 6.592316586618811591e-01 8.696603541796056325e-01
0.000000000000000000e+00 -2.054592327527985196e+33 8.205961368536901501e-01 2.481097843273024628e-01 8.758742189350143814e-01
0.000000000000000000e+00 -1.977707968267216956e+33 8.255191232980749749e-01 9.626704263969375619e-01 8.605968035914797198e-01
0.000000000000000000e+00 -1.762864361899994513e+33 9.462901334826161470e-01 4.305386820582713936e-01 8.688990951464596879e-01
0.000000000000000000e+00 -1.639692301500699371e+33 3.295267923388450759e-01 4.676312996129942112e-01 8.675783873819620240e-01
0.000000000000000000e+00 -1.620884797807692220e+33 6.128850524274720435e-02 7.181070603863485280e-01 8.627481084156741753e-01
0.000000000000000000e+00 -2.448420729607868560e+32 4.744154866859967568e-01 2.480797655428786941e-01 8.640571783804112949e-01
0.000000000000000000e+00 -2.266096253021531921e+32 7.883717330890555042e-01 8.777288123343751636e-02 8.751721536054420936e-01
0.000000000000000000e+00 -2.237416735860624247e+32 1.839047138583383978e-01 7.719608123739652994e-01 8.509428004549185465e-01
0.000000000000000000e+00 -1.997176081766717090e+32 9.611351408697543786e-01 3.647400493990663461e-01 8.586426263159067096e-01
0.000000000000000000e+00 -9.734048845947842367e+31 3.872611165977223324e-01 5.997885221728919136e-01 8.491229245505438339e-01
0.000000000000000000e+00 -8.633656331273255307e+31 7.963034575060992104e-01 4.684628279085911728e-01 8.512023397969646910e-01
0.000000000000000000e+00 -5.447773432706887195e+31 4.459155121370953490e-01 1.161565780862430231e-01 8.641394104507417184e-01
0.000000000000000000e+00 -4.926085833779790377e+31 3.209780541788657127e-01 2.432438963003047405e-02 8.809526597032205641e-01
0.000000000000000000e+00 -4.331202436194970741e+31 1.159404491042418384e-01 4.372999702511815023e-02 8.737200813093466412e-01
0.000000000000000000e+00 -2.405092821558160185e+31 9.156881817585816874e-01 8.278072452017476435e-01 8.377755121081222889e-01
0.000000000000000000e+00 -2.397305423114129036e+31 6.986275478853356535e-01 1.422947609546951764e-01 8.573236510094661700e-01
0.000000000000000000e+00 -1.859206491706675912e+31 4.864459959403504286e-01 3.796397875369561525e-01 8.450073524474851494e-01
0.000000000000000000e+00 -1.785960809680634419e+31 2.988963210139959914e-01 2.964592756872798107e-01 8.475320858780491795e-01
0.000000000000000000e+00 -1.160708601399951174e+31 9.835298960851478478e-01 3.168870975070625651e-02 8.699828852237088128e-01
0.000000000000000000e+00 -9.826965540363409199e+30 4.285296340598920839e-02 4.513461004788837938e-01 8.395425221989445408e-01
0.000000000000000000e+00 -5.624592848435598642e+30 6.568894902440191030e-01 1.469128154898529104e-01 8.489140777312643715e-01
0.000000000000000000e+00 -4.247333525399397966e+30 5.673147744478697074e-01 9.801396852388747361e-01 8.262655154683380410e-01
0.000000000000000000e+00 -1.896095392623113569e+30 1.152700163611296569e-01 8.285208747445272914e-01 8.236521352534251772e-01
0.000000000000000000e+00 -1.059791199907364632e+30 3.966703169713768906e-01 7.438396633588792994e-01 8.216182061155161698e-01
0.000000000000000000e+00 -9.093427539035887880e+29 6.309136374696062699e-01 8.863856238657212838e-01 8.188194305721898658e-01
0.000000000000000000e+00 -8.816823682182558211e+29 1.693747342361451302e-01 4.285098356430722122e-01 8.267241349685943153e-01
0.000000000000000000e+00 -8.127414086373857643e+29 5.800716930369685942e-01 5.485352106844741948e-01 8.235279195237802385e-01
0.000000000000000000e+00 -1.367954030712010428e+29 3.396430507766659002e-01 4.562814983410699021e-01 8.156740120527770088e-01
0.000000000000000000e+00 -4.779517119181891149e+28 2.036914757225578576e-01 6.809654127422762881e-01 8.053826601311961930e-01
0.000000000000000000e+00 -4.457474440386346501e+28 7.387050007489571746e-01 8.540620401965830499e-01 8.024784159166429287e-01
0.000000000000000000e+00 -4.404982071902466828e+28 8.526612646642205418e-01 8.051242368962263640e-01 8.030682649678463347e-01
0.000000000000000000e+00 -4.396403316235766097e+28 8.376893008645828198e-01 6.876910524361498078e-01 8.048092520752921919e-01
0.000000000000000000e+00 -2.801058247303671299e+28 8.113409605707375682e-01 1.100441829564998697e-01 8.226662633055438212e-01
0.000000000000000000e+00 -2.157455933386151952e+28 3.630634167067454676e-01 6.551260854023476243e-01 8.013933679210992755e-01
0.000000000000000000e+00 -1.636122775054304034e+28 8.060425494508197675e-01 9.186432738549610288e-01 7.961001395091660271e-01
0.000000000000000000e+00 -1.097205259582383287e+28 2.209724313475950330e-01 4.939631685709183762e-01 8.007742865361135998e-01
0.000000000000000000e+00 -6.827262831872469337e+27 5.432643993018106965e-01 3.639102360614692167e-01 8.015336515633504355e-01
0.000000000000000000e+00 -5.525544365659528708e+27 8.339719340447769858e-01 3.613492853413401429e-01 8.004368402332938670e-01
0.000000000000000000e+00 -5.261927721755510787e+27 3.085157000445486464e-01 2.265373057352967345e-01 8.053536399694368741e-01
