01:43:24 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=data/, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=1000..65536
01:43:24 [ultranest] [INFO] Sampling 300 live points from prior ...
01:43:25 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
01:43:25 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
01:43:25 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 300.0), (inf, 300.0)]
01:43:29 [ultranest] [DEBUG] iteration=840, ncalls=2292, regioncalls=5000, ndraw=1000, logz=-195063.14, remainder_fraction=100.0000%, Lmin=-193927.35, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=870, ncalls=2292, regioncalls=5000, ndraw=1000, logz=-158376.27, remainder_fraction=100.0000%, Lmin=-158316.87, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=871, ncalls=2292, regioncalls=5000, ndraw=1000, logz=-158325.48, remainder_fraction=100.0000%, Lmin=-157065.92, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=893, ncalls=2403, regioncalls=6000, ndraw=1000, logz=-139789.40, remainder_fraction=100.0000%, Lmin=-139504.20, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=900, ncalls=2403, regioncalls=6000, ndraw=1000, logz=-134955.95, remainder_fraction=100.0000%, Lmin=-133625.86, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=930, ncalls=2403, regioncalls=6000, ndraw=1000, logz=-109443.85, remainder_fraction=100.0000%, Lmin=-108923.37, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=938, ncalls=2403, regioncalls=6000, ndraw=1000, logz=-105705.34, remainder_fraction=100.0000%, Lmin=-104452.88, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=939, ncalls=2498, regioncalls=7000, ndraw=1000, logz=-104461.71, remainder_fraction=100.0000%, Lmin=-103233.23, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=960, ncalls=2498, regioncalls=7000, ndraw=1000, logz=-92880.45, remainder_fraction=100.0000%, Lmin=-92040.81, Lmax=-11.53
01:43:29 [ultranest] [DEBUG] iteration=974, ncalls=2581, regioncalls=8000, ndraw=1000, logz=-88099.52, remainder_fraction=100.0000%, Lmin=-87414.85, Lmax=-11.53
